,M_B,M_C,KO,KO_i,FBA_B,FBA_C,Strain,FVA_B,FVA_C,tgt,Che,Che_i,K
623,0.862105412093724,0.0,"['PTAr', 'TKT1']","[2072, 2208]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.749920080918097,50,EX_succ_e,932,2
624,0.8379874988230532,0.0,"['GND', 'MDH']","[1252, 1613]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.657617456342228,50,EX_succ_e,932,2
625,0.8542639632468816,0.0,"['PFK', 'GND']","[1880, 1252]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.54605178220411,50,EX_succ_e,932,2
626,0.8733315426882652,0.0,"['GLCabcpp', 'TKT2']","[1163, 2209]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.7614784311736,50,EX_succ_e,932,2
627,0.0,0.0,"['PFK', 'CS']","[1880, 435]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
628,0.8510333533209838,0.0,"['TKT1', 'SUCOAS']","[2208, 2220]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.635331892724256,50,EX_succ_e,932,2
629,0.0,0.0,"['HEX1', 'ACONTa']","[1347, 154]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
630,0.3056802061339577,0.0,"['TPI', 'RPI']","[2233, 2105]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
631,0.0,0.0,"['G6PDH2r', 'ACONTb']","[1144, 155]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
632,0.6968156340273715,0.0,"['RPE', 'TALA']","[2104, 2240]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.140622260237654,50,EX_succ_e,932,2
633,0.6882694558503848,0.0,"['ENO', 'RPE']","[696, 2104]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.9691849223683455,50,EX_succ_e,932,2
634,0.0,0.0,"['GND', 'CS']","[1252, 435]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
635,0.8071771923668506,0.0,"['TPI', 'SUCOAS']","[2233, 2220]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.039626570675981,50,EX_succ_e,932,2
636,0.6089244066511129,0.0,"['GAPD', 'PYK']","[1156, 2116]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.432321398916869,50,EX_succ_e,932,2
637,0.0,0.0,"['RPE', 'TKT2']","[2104, 2209]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
638,0.0,0.0,"['HEX1', 'ICDHyr']","[1347, 1369]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
639,0.0,0.0,"['PFK', 'ACONTb']","[1880, 155]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
640,0.0,0.0,"['GND', 'ACONTa']","[1252, 154]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
641,0.8099683556297954,0.0,"['TPI', 'TKT2']","[2233, 2209]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.030582305779923,50,EX_succ_e,932,2
642,0.7555654698067419,0.7863283179379661,"['G6PDH2r', 'FUM']","[1144, 1072]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.622441788590073,50,EX_succ_e,932,2
643,0.8761696210222788,0.0,"['ALCD2x', 'PTAr']","[239, 2072]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442989152738,50,EX_succ_e,932,2
644,0.8855712275987451,0.0,"['ALCD2x', 'MDH2']","[239, 1614]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442990353331,50,EX_succ_e,932,2
645,0.8061968877716887,0.0,"['TPI', 'AKGDH']","[2233, 202]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.039626570739298,50,EX_succ_e,932,2
646,0.7120675938401333,0.0,"['ENO', 'FRD2']","[696, 1038]",0.8855712275787295,0.0,iAF,0.44278561378936476,7.042666577576238,50,EX_succ_e,932,2
647,0.8855712275955544,0.0,"['LDH_D', 'MDH2']","[1466, 1614]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.7704429901205,50,EX_succ_e,932,2
648,0.0,0.0,"['GLCptspp', 'ACONTa']","[1168, 154]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
