,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
12,0.79701,2.28987,O,27.103,0.9,iAF1260,3,"['GND', 'PFL', 'TKT2']",0.79701,2.39767,0.79701,0.0
13,0.70846,3.94949,O,6.92,0.8,iAF1260,3,"['HEX1', 'RPI', 'TKT2']",0.70846,3.99242,1.0,2000.0
14,0.6199,5.38435,O,74.872,0.7,iAF1260,3,"['GND', 'PFK', 'RPE']",0.6199,5.5851,1.0,2000.0
15,0.53134,7.15097,O,20.093,0.6,iAF1260,3,"['MDH3', 'RPE', 'TKT1']",0.53134,7.17777,1.0,2000.0
16,0.44279,8.75576,O,23.801,0.5,iAF1260,3,"['FRD2', 'RPE', 'TKT1']",0.44279,8.77044,1.0,2000.0
17,0.35423,10.36054,O,14.066,0.4,iAF1260,3,"['FRD2', 'RPE', 'TKT1']",0.35423,10.36312,0.35423,0.0
18,0.26567,11.95526,O,6.536,0.3,iAF1260,3,"['GLCabcpp', 'RPI', 'TKT2']",0.26567,11.9552,1.0,2000.0
19,0.17711,13.50585,O,36.717,0.2,iAF1260,3,"['RPE', 'TKT1', 'SUCOAS']",0.17711,13.54418,1.0,2000.0
20,0.08856,15.13274,O,2.681,0.1,iAF1260,3,"['GLCabcpp', 'GND', 'RPE']",0.08856,15.13316,1.0,2000.0
21,0.0,16.72215,O,2.01,1.4e-16,iAF1260,3,"['G6PDH2r', 'HEX1', 'ICDHyr']",0.0,16.72214,0.0,0.0
22,0.88557,0.00011,P,0.41,1.0,iAF1260,3,"['FRD2', 'GLCabcpp', 'HEX1']",0.88557,0.0,0.88557,0.0
23,0.81763,0.85092,P,74.589,0.9,iAF1260,3,"['AKGDH', 'FUM', 'HEX1']",0.79701,2.39767,0.81763,0.85092
24,0.70846,3.99248,P,0.681,0.8,iAF1260,3,"['FRD2', 'HEX1', 'TKT2']",0.70846,3.99242,0.88007,0.0
